2025-05-27T11:34:03.095749 - New user added
2025-05-27T11:34:19.303879 - User accepted by admin
2025-05-27T11:34:23.228912 - Web activity reported
2025-05-27T11:34:23.349958 - Activity updated
User Logs:
  PID: 2100, Name: evolution-source-registry, CPU: 0.0%, Memory: 0.3897394000262214%
  PID: 2105, Name: gjs, CPU: 0.0%, Memory: 0.17718141242095936%
  PID: 2124, Name: ibus-daemon, CPU: 0.0%, Memory: 0.06749412691632445%
  PID: 2126, Name: gsd-a11y-settings, CPU: 0.0%, Memory: 0.04002876896732991%
  PID: 2127, Name: gsd-color, CPU: 0.0%, Memory: 0.15013898117951274%
  PID: 2130, Name: gsd-datetime, CPU: 0.0%, Memory: 0.05980681205560043%
  PID: 2132, Name: gsd-housekeeping, CPU: 0.0%, Memory: 0.05430876485747743%
  PID: 2133, Name: gsd-keyboard, CPU: 0.0%, Memory: 0.1467306894775089%
  PID: 2137, Name: gsd-media-keys, CPU: 0.0%, Memory: 0.16690678123170685%
  PID: 2139, Name: gsd-power, CPU: 0.0%, Memory: 0.16810092722948924%
  PID: 2140, Name: gsd-print-notifications, CPU: 0.0%, Memory: 0.06577754204451229%
  PID: 2141, Name: gsd-rfkill, CPU: 0.0%, Memory: 0.04224291467155138%
  PID: 2148, Name: gsd-screensaver-proxy, CPU: 0.0%, Memory: 0.038759988844686136%
  PID: 2151, Name: gsd-sharing, CPU: 0.0%, Memory: 0.07075315036860551%
  PID: 2152, Name: gsd-smartcard, CPU: 0.0%, Memory: 0.08436143913500044%
  PID: 2155, Name: gsd-sound, CPU: 0.0%, Memory: 0.05527900848067561%
  PID: 2158, Name: gsd-usb-protection, CPU: 0.0%, Memory: 0.04216828054668999%
  PID: 2159, Name: kdeconnectd, CPU: 0.0%, Memory: 0.408024760617264%
  PID: 2165, Name: gsd-disk-utility-notify, CPU: 0.0%, Memory: 0.04283998767044257%
  PID: 2169, Name: gsd-wacom, CPU: 0.0%, Memory: 0.15006434705465133%
  PID: 2187, Name: gsd-xsettings, CPU: 0.0%, Memory: 0.17392238896867832%
  PID: 2210, Name: evolution-alarm-notify, CPU: 0.0%, Memory: 0.5162691197079119%
  PID: 2231, Name: udisksd, CPU: 0.0%, Memory: 0.08587899967384888%
  PID: 2243, Name: gsd-printer, CPU: 0.0%, Memory: 0.09331753411836823%
  PID: 2249, Name: ibus-memconf, CPU: 0.0%, Memory: 0.043163402211508634%
